"州名","見出し","禹貢白文","禹貢日本語訳","比定地","音韻データ","アイヌ語解釈","出典"
"冀州","漳","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","現在の山西省東南部（長治市）から発し、河南省・河北省の境界（安陽市・邯鄲市）を経て北上する巨大な河川（漳河）。","上古音：「漳」- -／ȶ ǐaŋ／ȶ jaŋ／t jaŋ／t jang","アイヌ語：「漳」
＝「テュ・アゥ・ウン(tu-aw-un)」
＝「峰の・角・枝分かれ・にある（ところ）」","jomon2_bnum18.html"
"冀州","恒","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","河北省西部、保定市付近を流れる海河水系の河川「唐河（とうが）」。","上古音：「恒」- -／ɣ əŋ／ɣ ə̂ŋ／ɡ əŋ／g əng","アイヌ語：「恒」
＝「キル・アゥ・ウン(kir-aw-un)」
＝「山脚の・角、枝分かれ・にある（ところ）」","jomon2_bnum18.html"
"冀州","衛","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","北京・天津一帯を流れる海河水系の「大清河（だいせいが）」または「永定河（えいていが）」に比定。","上古音：「衛」ɡ i̯wad／ɣ ǐwat／ɣ juæd／ɣ iwar／gw jadh","アイヌ語：「衛」
＝「キル・アッ(kir-at)」
＝「山脚が・たくさんある（ところ）」","jomon2_bnum18.html"
"冀州","大陸","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","かつて河北省邢台市隆尭県・任沢区の東側に存在した巨大な湖・湿地帯「大陸沢」。","上古音：「大」tʰ ɑd, dʰ ɑd／d at／dʰ ɑd／d ar／d adh
上古音：「陸」l -／l ǐuk／l jok／l iəwk／l jəkw","アイヌ語：「大陸」
＝「テュ・アッ・リ・アク(tu-at-ri-ak)」
＝「峰が・たくさんある・高い・弟（のように小さいもの）」","jomon2_bnum18.html"
"冀州","島夷","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","冀州の東・北の境界である渤海沿岸や島々に住んでいた部族。現在の遼東半島から朝鮮半島北部、あるいは山東半島の一部にいた北方・東方の民族の居住地域。","上古音：「島」- -／t u／t ôɡ／t əw／t əgwx
上古音：「夷」d i̯ər／ʎ ǐei／d jed／r ier／r id","アイヌ語：「島夷」＝「テュ・アク・テュ・アッ(tu-ak-tu-at)」＝「峰の・弟の（ように小さい）・峰が・たくさんある（ところ）」","jomon2_bnum18.html"
"冀州","夾右","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","下流の黄河（当時は北へ流れていた）が海に入る手前、西側（上流から見て右岸）の地域。現在の河北省東部一帯。","上古音：「夾」k ăp／k eap／k ɐp／k riap／k riap
上古音：「右」ɡ i̯ŭɡ／ɣ ǐwə／ɣ juə̆ɡ／ɣ jwəɣ／gw jəgh","アイヌ語：「夾右」
＝「ク・アプ・キル・アク(ku-ap-kir-ak)」
＝「矢の（ように鋭い）・釣り針の（ように曲がった）・山脚の・弟（のように小さいもの）」
※アイヌ語「ク＝弓」。朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum18.html"
"冀州","碣石","「禹敷土、随山刊木、奠高山大川。冀州既載壺口、治梁及岐。既修太原、至于岳陽。覃懐厎績、至于衡漳。厥土惟白壌、厥賦惟上上錯、厥田惟中中。恒衛既従、大陸既作。島夷皮服、夾右碣石、入于河。」","「禹は天下の土地を整理し、山々に登って木を切り払い、高い山や大きな川の境界を定められた。
冀州では、まず壺口の山から着手し、梁山や岐山の周辺を治めた。太原の盆地を整備し、太岳山の南側まで開拓を広げた。覃懐の地で治水の見事な成果が上がり、さらに衡水や漳水の流域へと及んだ。
その土地の土壌は「白壌（白い柔らかい土）」である。田の等級は「中の中」であるが、賦の等級は「上の上」であり、例外的にこれより上下することもある。
恒水や衛水は定められた川筋を流れるようになり、大陸澤の湿地帯も耕作ができるようになった
東北の島々に住む先住民は、毛皮の衣服を献上するようになった。右手に碣石山を見ながら海沿いを進み、黄河へと入って都へ運ぶ。」","河北省秦皇島市昌黎県にある碣石山。当時は黄河の河口近く、海に突き出た岬のようなランドマーク。","上古音：「碣」ɡʰ i̯at／g ǐat／ɡʰ jăt／ɡ jat／g jat
上古音：「石」ȡ i̯ăk／ʑ iak／- -／d jiak／d jiak","アイヌ語：「碣石」
＝「キル・アッ・テュ・アク(kir-at-tu-ak)」
＝「山脚が・たくさんある・峰の・弟」","jomon2_bnum18.html"
"兗州","兗（州）","「濟河惟兗州，九河既道，雷夏既澤，灉沮會同。桑土既蠶，是降丘宅土。厥土黑墳，厥草惟繇，厥木惟條。厥田惟中下，厥賦貞作，十有三載乃同。厥貢漆絲，厥篚織文。浮于濟漯，達于河。」","「済水と黄河に挟まれた地域が兗州である。氾濫していた黄河の下流の九本の河はスムーズに導かれ、雷夏の地は水が引いて正しい湖沢となった。灉水と沮水も合流して正しく流れるようになった。桑の育つ土地になったので蚕が飼えるようになり、人々は洪水から避難していた丘から下りて平地に住み着くようになった。その土壌は黒く肥えて柔らかく、草は生い茂り、木はまっすぐに伸びて高くなった。田の等級は中下（第6等）であり、税の額は正しく定められたが、治水工事が始まってから13年経ってようやく他の州と同じように安定して徴収できるようになった。その貢物は漆と絹糸であり、竹かごに詰めて納めるものは模様を織り込んだ織物である。貢物を運ぶ船は済水や漯水に浮かべて進み、黄河へと達する。」","現在の山東省の西部・北部、河南省の東部、および河北省の南部にまたがる地域。西は黄河、東は済水（かつて存在した大河）に挟まれた平野部。","上古音：「兗」d i̯wan／ʎ ǐwan／- -／r iwan／- -","アイヌ語：「兗（州）」
＝「リ・アゥ・ウン(ri-aw-un)」
＝「高い・角、枝分かれ・にある（ところ）」","jomon2_bnum18.html"
"兗州","濟","「濟河惟兗州，九河既道，雷夏既澤，灉沮會同。桑土既蠶，是降丘宅土。厥土黑墳，厥草惟繇，厥木惟條。厥田惟中下，厥賦貞作，十有三載乃同。厥貢漆絲，厥篚織文。浮于濟漯，達于河。」","「済水と黄河に挟まれた地域が兗州である。氾濫していた黄河の下流の九本の河はスムーズに導かれ、雷夏の地は水が引いて正しい湖沢となった。灉水と沮水も合流して正しく流れるようになった。桑の育つ土地になったので蚕が飼えるようになり、人々は洪水から避難していた丘から下りて平地に住み着くようになった。その土壌は黒く肥えて柔らかく、草は生い茂り、木はまっすぐに伸びて高くなった。田の等級は中下（第6等）であり、税の額は正しく定められたが、治水工事が始まってから13年経ってようやく他の州と同じように安定して徴収できるようになった。その貢物は漆と絹糸であり、竹かごに詰めて納めるものは模様を織り込んだ織物である。貢物を運ぶ船は済水や漯水に浮かべて進み、黄河へと達する。」","かつての「済水」。当時は黄河、長江、淮河と並び「四瀆」と呼ばれた独立した川。現在は消滅。現在の黄河の下流部。","上古音：「濟」ts iər／ts iei／ts ied／ts er／ts idx","アイヌ語：「濟」
＝「テュ・アッ(tu-at)」
＝「峰が・たくさんある（ところ）」","jomon2_bnum18.html"
"兗州","河","「濟河惟兗州，九河既道，雷夏既澤，灉沮會同。桑土既蠶，是降丘宅土。厥土黑墳，厥草惟繇，厥木惟條。厥田惟中下，厥賦貞作，十有三載乃同。厥貢漆絲，厥篚織文。浮于濟漯，達于河。」","「済水と黄河に挟まれた地域が兗州である。氾濫していた黄河の下流の九本の河はスムーズに導かれ、雷夏の地は水が引いて正しい湖沢となった。灉水と沮水も合流して正しく流れるようになった。桑の育つ土地になったので蚕が飼えるようになり、人々は洪水から避難していた丘から下りて平地に住み着くようになった。その土壌は黒く肥えて柔らかく、草は生い茂り、木はまっすぐに伸びて高くなった。田の等級は中下（第6等）であり、税の額は正しく定められたが、治水工事が始まってから13年経ってようやく他の州と同じように安定して徴収できるようになった。その貢物は漆と絹糸であり、竹かごに詰めて納めるものは模様を織り込んだ織物である。貢物を運ぶ船は済水や漯水に浮かべて進み、黄河へと達する。」","黄河。","上古音：「河」ɡʰ ɑ／ɣ ai／ɣ ɑ／ɡ a／g ar","アイヌ語：「河」
＝「キル・アゥ(kir-aw)」
＝「山脚の・角、枝分かれ」","jomon2_bnum18.html"
"兗州","九河","「濟河惟兗州，九河既道，雷夏既澤，灉沮會同。桑土既蠶，是降丘宅土。厥土黑墳，厥草惟繇，厥木惟條。厥田惟中下，厥賦貞作，十有三載乃同。厥貢漆絲，厥篚織文。浮于濟漯，達于河。」","「済水と黄河に挟まれた地域が兗州である。氾濫していた黄河の下流の九本の河はスムーズに導かれ、雷夏の地は水が引いて正しい湖沢となった。灉水と沮水も合流して正しく流れるようになった。桑の育つ土地になったので蚕が飼えるようになり、人々は洪水から避難していた丘から下りて平地に住み着くようになった。その土壌は黒く肥えて柔らかく、草は生い茂り、木はまっすぐに伸びて高くなった。田の等級は中下（第6等）であり、税の額は正しく定められたが、治水工事が始まってから13年経ってようやく他の州と同じように安定して徴収できるようになった。その貢物は漆と絹糸であり、竹かごに詰めて納めるものは模様を織り込んだ織物である。貢物を運ぶ船は済水や漯水に浮かべて進み、黄河へと達する。」","現在の河北省東南部から山東省西北部にかけて、黄河の下流が網の目のように分流していた9つの河道の総称（徒駭・太史・馬頰・覆釜・胡蘇・簡・潔・鉤盤・鬲津の9河）。","上古音：「九」k i̯ŭɡ／k ǐu／k jŏɡ／k jəw／k jəgwx
上古音：「河」ɡʰɑ／ɣai／ɣɑ／ɡa／gar","アイヌ語：「九河」
＝「キル・アク・キル・アゥ(kir-ak-kir-aw)」
＝「山脚の・弟（のように小さいもの）・山脚の・角、枝分かれ」","jomon2_bnum18.html"
